title,abstract,field_1_na,field_1_co,field_2_na,field_2_co,field_3_na,field_3_co
Universal buffers for use in biochemistry and biophysical experiments,"The use of buffers that mimic biological solutions is a foundation of biochemical and biophysical studies. However, buffering agents have both specific and nonspecific interactions with proteins. Buffer molecules can induce changes in conformational equilibria, dynamic behavior, and catalytic properties merely by their presence in solution. This effect is of concern because many of the standard experiments used to investigate protein structure and function involve changing solution conditions such as pH and/or temperature. In experiments in which pH is varied, it is common practice to switch buffering agents so that the pH is within the working range of the weak acid and conjugate base. If multiple buffers are used, it is not always possible to decouple buffer induced change from pH or temperature induced change. We have developed a series of mixed biological buffers for protein analysis that can be used across a broad pH range, are compatible with biologically relevant metal ions, and avoid complications that may arise from changing the small molecule composition of buffers when pH is used as an experimental variable.",Biochemistry,70.00%,Biophysics,20.00%,Analytical Chemistry,10.00%
High-resolution mapping of satellite DNA using biotin-labeled DNA probes,"We have developed a novel method for high resolution mapping of specific DNA sequences after in situ hybridization. DNA probes, labeled with biotin-nucleotides in conventional nick-translation reactions, are hybridized to cytological preparations and detected with affinity-purified rabbit antibiotin antibodies followed by antibodies to rabbit IgG that are conjugated to fluorescent or enzymatic reagents. Using peroxidase labeled anti-rabbit IgG, we are able to detect and localize specific sequences at both the light and electron microscopic levels. Initial studies were done with repeated DNA sequences previously mapped by light microscope autoradiography to assess the fidelity and resolution of this method. An analysis using biotin-labeled mouse satellite DNA is presented here.",Genetics,70.00%,Molecular Biology,20.00%,Biotechnology,10.00%
Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation,"Structure of the nCoV trimeric spike The World Health Organization has declared the outbreak of a novel coronavirus (2019-nCoV) to be a public health emergency of international concern. The virus binds to host cells through its trimeric spike glycoprotein, making this protein a key target for potential therapies and diagnostics. Wrapp et al. determined a 3.5-angstrom-resolution structure of the 2019-nCoV trimeric spike protein by cryo–electron microscopy. Using biophysical assays, the authors show that this protein binds at least 10 times more tightly than the corresponding spike protein of severe acute respiratory syndrome (SARS)–CoV to their common host cell receptor. They also tested three antibodies known to bind to the SARS-CoV spike protein but did not detect binding to the 2019-nCoV spike protein. These studies provide valuable information to guide the development of medical counter-measures for 2019-nCoV. Science, this issue p. 1260 The overall structure of the 2019-nCoV spike (S) protein resembles that of SARS-CoV S, but 2019-nCoV S binds more tightly to the host receptor. The outbreak of a novel coronavirus (2019-nCoV) represents a pandemic threat that has been declared a public health emergency of international concern. The CoV spike (S) glycoprotein is a key target for vaccines, therapeutic antibodies, and diagnostics. To facilitate medical countermeasure development, we determined a 3.5-angstrom-resolution cryo–electron microscopy structure of the 2019-nCoV S trimer in the prefusion conformation. The predominant state of the trimer has one of the three receptor-binding domains (RBDs) rotated up in a receptor-accessible conformation. We also provide biophysical and structural evidence that the 2019-nCoV S protein binds angiotensin-converting enzyme 2 (ACE2) with higher affinity than does severe acute respiratory syndrome (SARS)-CoV S. Additionally, we tested several published SARS-CoV RBD-specific monoclonal antibodies and found that they do not have appreciable binding to 2019-nCoV S, suggesting that antibody cross-reactivity may be limited between the two RBDs. The structure of 2019-nCoV S should enable the rapid development and evaluation of medical countermeasures to address the ongoing public health crisis.",Virology,80.00%,Structural Biology,15.00%,Biochemistry,5.00%
Concepts of extracellular matrix remodelling in tumour progression and metastasis,"Tissues are dynamically shaped by bidirectional communication between resident cells and the extracellular matrix (ECM) through cell-matrix interactions and ECM remodelling. Tumours leverage ECM remodelling to create a microenvironment that promotes tumourigenesis and metastasis. In this review, we focus on how tumour and tumour-associated stromal cells deposit, biochemically and biophysically modify, and degrade tumour-associated ECM. These tumour-driven changes support tumour growth, increase migration of tumour cells, and remodel the ECM in distant organs to allow for metastatic progression. A better understanding of the underlying mechanisms of tumourigenic ECM remodelling is crucial for developing therapeutic treatments for patients. Tumors are more than cancer cells — the extracellular matrix is a protein structure that organizes all tissues and is altered in cancer. Here, the authors review recent progress in understanding how the cancer cells and tumor-associated stroma cells remodel the extracellular matrix to drive tumor growth and metastasis.",Cancer Research,70.00%,Cell Biology,20.00%,Molecular Medicine,10.00%
Minimal information for studies of extracellular vesicles 2018 (MISEV2018): a position statement of the International Society for Extracellular Vesicles and update of the MISEV2014 guidelines,"ABSTRACT The last decade has seen a sharp increase in the number of scientific publications describing physiological and pathological functions of extracellular vesicles (EVs), a collective term covering various subtypes of cell-released, membranous structures, called exosomes, microvesicles, microparticles, ectosomes, oncosomes, apoptotic bodies, and many other names. However, specific issues arise when working with these entities, whose size and amount often make them difficult to obtain as relatively pure preparations, and to characterize properly. The International Society for Extracellular Vesicles (ISEV) proposed Minimal Information for Studies of Extracellular Vesicles (“MISEV”) guidelines for the field in 2014. We now update these “MISEV2014” guidelines based on evolution of the collective knowledge in the last four years. An important point to consider is that ascribing a specific function to EVs in general, or to subtypes of EVs, requires reporting of specific information beyond mere description of function in a crude, potentially contaminated, and heterogeneous preparation. For example, claims that exosomes are endowed with exquisite and specific activities remain difficult to support experimentally, given our still limited knowledge of their specific molecular machineries of biogenesis and release, as compared with other biophysically similar EVs. The MISEV2018 guidelines include tables and outlines of suggested protocols and steps to follow to document specific EV-associated functional activities. Finally, a checklist is provided with summaries of key points.",Cell Biology,70.00%,Biochemistry,20.00%,Molecular Biology,10.00%
End-to-end design of wearable sensors,"Wearable devices provide an alternative pathway to clinical diagnostics by exploiting various physical, chemical and biological sensors to mine physiological (biophysical and/or biochemical) information in real time (preferably, continuously) and in a non-invasive or minimally invasive manner. These sensors can be worn in the form of glasses, jewellery, face masks, wristwatches, fitness bands, tattoo-like devices, bandages or other patches, and textiles. Wearables such as smartwatches have already proved their capability for the early detection and monitoring of the progression and treatment of various diseases, such as COVID-19 and Parkinson disease, through biophysical signals. Next-generation wearable sensors that enable the multimodal and/or multiplexed measurement of physical parameters and biochemical markers in real time and continuously could be a transformative technology for diagnostics, allowing for high-resolution and time-resolved historical recording of the health status of an individual. In this Review, we examine the building blocks of such wearable sensors, including the substrate materials, sensing mechanisms, power modules and decision-making units, by reflecting on the recent developments in the materials, engineering and data science of these components. Finally, we synthesize current trends in the field to provide predictions for the future trajectory of wearable sensors. Wearable sensors that access both biophysical and biochemical information can be used to monitor the physiological state of an individual and facilitate diagnosis. This Review examines the building blocks of wearable devices, including the substrate materials as well as the sensing, decision-making and power modules.",Biomedical Engineering,45.00%,Electrical and Electronic Engineering,35.00%,Computer Science,20.00%
Impacts of Microplastics on the Soil Biophysical Environment,"Soils are essential components of terrestrial ecosystems that experience strong pollution pressure. Microplastic contamination of soils is being increasingly documented, with potential consequences for soil biodiversity and function. Notwithstanding, data on effects of such contaminants on fundamental properties potentially impacting soil biota are lacking. The present study explores the potential of microplastics to disturb vital relationships between soil and water, as well as its consequences for soil structure and microbial function. During a 5-weeks garden experiment we exposed a loamy sand soil to environmentally relevant nominal concentrations (up to 2%) of four common microplastic types (polyacrylic fibers, polyamide beads, polyester fibers, and polyethylene fragments). Then, we measured bulk density, water holding capacity, hydraulic conductivity, soil aggregation, and microbial activity. Microplastics affected the bulk density, water holding capacity, and the functional relationship between the microbial activity and water stable aggregates. The effects are underestimated if idiosyncrasies of particle type and concentrations are neglected, suggesting that purely qualitative environmental microplastic data might be of limited value for the assessment of effects in soil. If extended to other soils and plastic types, the processes unravelled here suggest that microplastics are relevant long-term anthropogenic stressors and drivers of global change in terrestrial ecosystems.",Soil Science,70.00%,Environmental Science (miscellaneous),20.00%,Ecology,10.00%
Key indicators of Arctic climate change: 1971–2017,"Key observational indicators of climate change in the Arctic, most spanning a 47 year period (1971–2017) demonstrate fundamental changes among nine key elements of the Arctic system. We find that, coherent with increasing air temperature, there is an intensification of the hydrological cycle, evident from increases in humidity, precipitation, river discharge, glacier equilibrium line altitude and land ice wastage. Downward trends continue in sea ice thickness (and extent) and spring snow cover extent and duration, while near-surface permafrost continues to warm. Several of the climate indicators exhibit a significant statistical correlation with air temperature or precipitation, reinforcing the notion that increasing air temperatures and precipitation are drivers of major changes in various components of the Arctic system. To progress beyond a presentation of the Arctic physical climate changes, we find a correspondence between air temperature and biophysical indicators such as tundra biomass and identify numerous biophysical disruptions with cascading effects throughout the trophic levels. These include: increased delivery of organic matter and nutrients to Arctic near‐coastal zones; condensed flowering and pollination plant species periods; timing mismatch between plant flowering and pollinators; increased plant vulnerability to insect disturbance; increased shrub biomass; increased ignition of wildfires; increased growing season CO2 uptake, with counterbalancing increases in shoulder season and winter CO2 emissions; increased carbon cycling, regulated by local hydrology and permafrost thaw; conversion between terrestrial and aquatic ecosystems; and shifting animal distribution and demographics. The Arctic biophysical system is now clearly trending away from its 20th Century state and into an unprecedented state, with implications not only within but beyond the Arctic. The indicator time series of this study are freely downloadable at AMAP.no.",General Earth and Planetary Sciences,40.00%,Ecology,35.00%,Global and Planetary Change,25.00%
Role of Extracellular Matrix in Development and Cancer Progression,"The immense diversity of extracellular matrix (ECM) proteins confers distinct biochemical and biophysical properties that influence cell phenotype. The ECM is highly dynamic as it is constantly deposited, remodelled, and degraded during development until maturity to maintain tissue homeostasis. The ECM’s composition and organization are spatiotemporally regulated to control cell behaviour and differentiation, but dysregulation of ECM dynamics leads to the development of diseases such as cancer. The chemical cues presented by the ECM have been appreciated as key drivers for both development and cancer progression. However, the mechanical forces present due to the ECM have been largely ignored but recently recognized to play critical roles in disease progression and malignant cell behaviour. Here, we review the ways in which biophysical forces of the microenvironment influence biochemical regulation and cell phenotype during key stages of human development and cancer progression.",Cell Biology,40.00%,Cancer Research,35.00%,Developmental Biology,25.00%
Bio-Integrated Wearable Systems: A Comprehensive Review.,"Bio-integrated wearable systems can measure a broad range of biophysical, biochemical, and environmental signals to provide critical insights into overall health status and to quantify human performance. Recent advances in material science, chemical analysis techniques, device designs, and assembly methods form the foundations for a uniquely differentiated type of wearable technology, characterized by noninvasive, intimate integration with the soft, curved, time-dynamic surfaces of the body. This review summarizes the latest advances in this emerging field of ""bio-integrated"" technologies in a comprehensive manner that connects fundamental developments in chemistry, material science, and engineering with sensing technologies that have the potential for widespread deployment and societal benefit in human health care. An introduction to the chemistries and materials for the active components of these systems contextualizes essential design considerations for sensors and associated platforms that appear in following sections. The subsequent content highlights the most advanced biosensors, classified according to their ability to capture biophysical, biochemical, and environmental information. Additional sections feature schemes for electrically powering these sensors and strategies for achieving fully integrated, wireless systems. The review concludes with an overview of key remaining challenges and a summary of opportunities where advances in materials chemistry will be critically important for continued progress.",Biomedical Engineering,45.00%,Materials Science,35.00%,Biotechnology,20.00%
Cells release subpopulations of exosomes with distinct molecular and biological properties,"Cells release nano-sized membrane vesicles that are involved in intercellular communication by transferring biological information between cells. It is generally accepted that cells release at least three types of extracellular vesicles (EVs): apoptotic bodies, microvesicles and exosomes. While a wide range of putative biological functions have been attributed to exosomes, they are assumed to represent a homogenous population of EVs. We hypothesized the existence of subpopulations of exosomes with defined molecular compositions and biological properties. Density gradient centrifugation of isolated exosomes revealed the presence of two distinct subpopulations, differing in biophysical properties and their proteomic and RNA repertoires. Interestingly, the subpopulations mediated differential effects on the gene expression programmes in recipient cells. In conclusion, we demonstrate that cells release distinct exosome subpopulations with unique compositions that elicit differential effects on recipient cells. Further dissection of exosome heterogeneity will advance our understanding of exosomal biology in health and disease and accelerate the development of exosome-based diagnostics and therapeutics.",Cell Biology,70.00%,Molecular Biology,20.00%,Biochemistry,10.00%
Forestation at the right time with the right species can generate persistent carbon benefits in China,"Significance Forest ecosystems have the potential to provide crucial carbon sinks contributing to national carbon neutrality initiatives. However, the policy relevance of existing evaluations on the biophysical potential of forest carbon sink was greatly limited because they ignored near-term to mid-term decadal carbon uptake dynamics and the suitable forest species for forestation. This study addressed these issues by answering the three key questions of potential forestation in China: where, with what species, and when to afforest. Progressive forestation of an additional 78 Mha with the right species up to the 2060s will provide a persistent biophysical carbon sink potential, effectively supporting China’s carbon neutrality strategy. Our research hence provides an example of building a forestation roadmap to support climate mitigation policies.",Forestry,45.00%,Ecology,35.00%,Global and Planetary Change,20.00%
Deciphering key features in protein structures with the new ENDscript server,"ENDscript 2 is a friendly Web server for extracting and rendering a comprehensive analysis of primary to quaternary protein structure information in an automated way. This major upgrade has been fully re-engineered to enhance speed, accuracy and usability with interactive 3D visualization. It takes advantage of the new version 3 of ESPript, our well-known sequence alignment renderer, improved to handle a large number of data with reduced computation time. From a single PDB entry or file, ENDscript produces high quality figures displaying multiple sequence alignment of proteins homologous to the query, colored according to residue conservation. Furthermore, the experimental secondary structure elements and a detailed set of relevant biophysical and structural data are depicted. All this information and more are now mapped on interactive 3D PyMOL representations. Thanks to its adaptive and rigorous algorithm, beginner to expert users can modify settings to fine-tune ENDscript to their needs. ENDscript has also been upgraded as an open platform for the visualization of multiple biochemical and structural data coming from external biotool Web servers, with both 2D and 3D representations. ENDscript 2 and ESPript 3 are freely available at http://endscript.ibcp.fr and http://espript.ibcp.fr, respectively.",Biochemistry,70.00%,Structural Biology,20.00%,Biophysics,10.00%
Advances and Challenges of Liposome Assisted Drug Delivery,"The application of liposomes to assist drug delivery has already had a major impact on many biomedical areas. They have been shown to be beneficial for stabilizing therapeutic compounds, overcoming obstacles to cellular and tissue uptake, and improving biodistribution of compounds to target sites in vivo. This enables effective delivery of encapsulated compounds to target sites while minimizing systemic toxicity. Liposomes present as an attractive delivery system due to their flexible physicochemical and biophysical properties, which allow easy manipulation to address different delivery considerations. Despite considerable research in the last 50 years and the plethora of positive results in preclinical studies, the clinical translation of liposome assisted drug delivery platforms has progressed incrementally. In this review, we will discuss the advances in liposome assisted drug delivery, biological challenges that still remain, and current clinical and experimental use of liposomes for biomedical applications. The translational obstacles of liposomal technology will also be presented.",Pharmacology,45.00%,Pharmaceutical Science,35.00%,Drug Discovery,20.00%
Minimal experimental requirements for definition of extracellular vesicles and their functions: a position statement from the International Society for Extracellular Vesicles,"Secreted membrane-enclosed vesicles, collectively called extracellular vesicles (EVs), which include exosomes, ectosomes, microvesicles, microparticles, apoptotic bodies and other EV subsets, encompass a very rapidly growing scientific field in biology and medicine. Importantly, it is currently technically challenging to obtain a totally pure EV fraction free from non-vesicular components for functional studies, and therefore there is a need to establish guidelines for analyses of these vesicles and reporting of scientific studies on EV biology. Here, the International Society for Extracellular Vesicles (ISEV) provides researchers with a minimal set of biochemical, biophysical and functional standards that should be used to attribute any specific biological cargo or functions to EVs.",Cell Biology,45.00%,Biochemistry,30.00%,Biotechnology,25.00%
"Plasma membranes are asymmetric in lipid unsaturation, packing, and protein shape","A fundamental feature of cellular plasma membranes (PMs) is an asymmetric lipid distribution between the bilayer leaflets. However, neither the detailed, comprehensive compositions of individual PM leaflets nor how these contribute to structural membrane asymmetries have been defined. We report the distinct lipidomes and biophysical properties of both monolayers in living mammalian PMs. Phospholipid unsaturation is dramatically asymmetric, with the cytoplasmic leaflet being approximately twofold more unsaturated than the exoplasmic leaflet. Atomistic simulations and spectroscopy of leaflet-selective fluorescent probes reveal that the outer PM leaflet is more packed and less diffusive than the inner leaflet, with this biophysical asymmetry maintained in the endocytic system. The structural asymmetry of the PM is reflected in the asymmetric structures of protein transmembrane domains. These structural asymmetries are conserved throughout Eukaryota, suggesting fundamental cellular design principles. Lipidomics across the bilayer membrane plus biophysical and fluorescence approaches find asymmetry in phospholipid unsaturation and localization of protein transmembrane domains based on their ability to pack within the different membrane leaflets.",Cell Biology,45.00%,Biophysics,35.00%,Biochemistry,20.00%
Biophysical impacts of earth greening can substantially mitigate regional land surface temperature warming,"Using satellite observations over the recent two decades, the authors quantify the biophysical impact of earth greening on land surface temperature and show a considerable cooling effect in India and China, important for climate mitigation. Vegetation change can alter surface energy balance and subsequently affect the local climate. This biophysical impact has been well studied for forestation cases, but the sign and magnitude for persistent earth greening remain controversial. Based on long-term remote sensing observations, we quantify the unidirectional impact of vegetation greening on radiometric surface temperature over 2001–2018. Here, we show a global negative temperature response with large spatial and seasonal variability. Snow cover, vegetation greenness, and shortwave radiation are the major driving factors of the temperature sensitivity by regulating the relative dominance of radiative and non-radiative processes. Combined with the observed greening trend, we find a global cooling of −0.018 K/decade, which slows down 4.6 ± 3.2% of the global warming. Regionally, this cooling effect can offset 39.4 ± 13.9% and 19.0 ± 8.2% of the corresponding warming in India and China. These results highlight the necessity of considering this vegetation-related biophysical climate effect when informing local climate adaptation strategies.",Global and Planetary Change,45.00%,Ecology,35.00%,Atmospheric Science,20.00%
The 4D nucleome project,"The 4D Nucleome Network aims to develop and apply approaches to map the structure and dynamics of the human and mouse genomes in space and time with the goal of gaining deeper mechanistic insights into how the nucleus is organized and functions. The project will develop and benchmark experimental and computational approaches for measuring genome conformation and nuclear organization, and investigate how these contribute to gene regulation and other genome functions. Validated experimental technologies will be combined with biophysical approaches to generate quantitative models of spatial genome organization in different biological states, both in cell populations and in single cells.",Genetics,70.00%,Molecular Biology,20.00%,Cell Biology,10.00%
"Insight, part of a Special Feature on A Framework for Analyzing, Comparing, and Diagnosing Social-Ecological Systems Social-ecological system framework: initial changes and continuing challenges","The social-ecological system (SES) framework investigated in this special issue enables researchers from diverse disciplinary backgrounds working on different resource sectors in disparate geographic areas, biophysical conditions, and temporal domains to share a common vocabulary for the construction and testing of alternative theories and models that determine which influences on processes and outcomes are especially critical in specific empirical settings. We summarize changes that have been made to this framework and discuss a few remaining ambiguities in its formulation. Specifically, we offer a tentative rearrangement of the list of relevant attributes of governance systems and discuss other ways to make this framework applicable to policy settings beyond natural resource settings. The SES framework will continue to change as more researchers apply it to additional contexts; the main purpose of this article is to delineate the version that served as the basis for the theoretical innovations and empirical analyses detailed in other contributions to this special issue.",Ecology,40.00%,Environmental Science (miscellaneous),35.00%,"Management, Monitoring, Policy and Law",25.00%
Green Synthesis of Metallic Nanoparticles via Biological Entities,"Nanotechnology is the creation, manipulation and use of materials at the nanometre size scale (1 to 100 nm). At this size scale there are significant differences in many material properties that are normally not seen in the same materials at larger scales. Although nanoscale materials can be produced using a variety of traditional physical and chemical processes, it is now possible to biologically synthesize materials via environment-friendly green chemistry based techniques. In recent years, the convergence between nanotechnology and biology has created the new field of nanobiotechnology that incorporates the use of biological entities such as actinomycetes algae, bacteria, fungi, viruses, yeasts, and plants in a number of biochemical and biophysical processes. The biological synthesis via nanobiotechnology processes have a significant potential to boost nanoparticles production without the use of harsh, toxic, and expensive chemicals commonly used in conventional physical and chemical processes. The aim of this review is to provide an overview of recent trends in synthesizing nanoparticles via biological entities and their potential applications.",Biotechnology,40.00%,Bioengineering,35.00%,Biochemistry,25.00%
Local cooling and warming effects of forests based on satellite observations,"The biophysical effects of forests on climate have been extensively studied with climate models. However, models cannot accurately reproduce local climate effects due to their coarse spatial resolution and uncertainties, and field observations are valuable but often insufficient due to their limited coverage. Here we present new evidence acquired from global satellite data to analyse the biophysical effects of forests on local climate. Results show that tropical forests have a strong cooling effect throughout the year; temperate forests show moderate cooling in summer and moderate warming in winter with net cooling annually; and boreal forests have strong warming in winter and moderate cooling in summer with net warming annually. The spatiotemporal cooling or warming effects are mainly driven by the two competing biophysical effects, evapotranspiration and albedo, which in turn are strongly influenced by rainfall and snow. Implications of our satellite-based study could be useful for informing local forestry policies. Local climatic effects of forests remain poorly understood due to the coarse spatial resolution of models and field observations. Here, the authors use global satellite data to analyse the spatiotemporal cooling or warming effects of tropical, temperate and boreal forests on climate.",Ecology,40.00%,Global and Planetary Change,35.00%,Environmental Science (miscellaneous),25.00%
Tuning immunity through tissue mechanotransduction,"This Review considers how the biophysical properties of a tissue are able to shape immune cell function through the process of mechanotransduction. There are multiple mechanotransduction pathways that operate in immune cells and the authors highlight these and the emerging field of mechanoimmunology. Immune responses are governed by signals from the tissue microenvironment, and in addition to biochemical signals, mechanical cues and forces arising from the tissue, its extracellular matrix and its constituent cells shape immune cell function. Indeed, changes in biophysical properties of tissue alter the mechanical signals experienced by cells in many disease conditions, in inflammatory states and in the context of ageing. These mechanical cues are converted into biochemical signals through the process of mechanotransduction, and multiple pathways of mechanotransduction have been identified in immune cells. Such pathways impact important cellular functions including cell activation, cytokine production, metabolism, proliferation and trafficking. Changes in tissue mechanics may also represent a new form of ‘danger signal’ that alerts the innate and adaptive immune systems to the possibility of injury or infection. Tissue mechanics can change temporally during an infection or inflammatory response, offering a novel layer of dynamic immune regulation. Here, we review the emerging field of mechanoimmunology, focusing on how mechanical cues at the scale of the tissue environment regulate immune cell behaviours to initiate, propagate and resolve the immune response.",Immunology,70.00%,Cell Biology,20.00%,Biophysics,10.00%
Cellular Mechanisms of NETosis.,"Neutrophils are critical to innate immunity, including host defense against bacterial and fungal infections. They achieve their host defense role by phagocytosing pathogens, secreting their granules full of cytotoxic enzymes, or expelling neutrophil extracellular traps (NETs) during the process of NETosis. NETs are weblike DNA structures decorated with histones and antimicrobial proteins released by activated neutrophils. Initially described as a means for neutrophils to neutralize pathogens, NET release also occurs in sterile inflammation, promotes thrombosis, and can mediate tissue damage. To effectively manipulate this double-edged sword to fight a particular disease, researchers must work toward understanding the mechanisms driving NETosis. Such understanding would allow the generation of new drugs to promote or prevent NETosis as needed. While knowledge regarding the (patho)physiological roles of NETosis is accumulating, little is known about the cellular and biophysical bases of this process. In this review, we describe and discuss our current knowledge of the molecular, cellular, and biophysical mechanisms mediating NET release as well as open questions in the field. Expected final online publication date for the Annual Review of Cell and Developmental Biology, Volume 36 is October 6, 2020. Please see http://www.annualreviews.org/page/journal/pubdates for revised estimates.",Immunology,70.00%,Cell Biology,20.00%,Molecular Biology,10.00%
Harnessing Traction-Mediated Manipulation of the Cell-Matrix Interface to Control Stem Cell Fate,"Stem cells sense and respond to the mechanical properties of the extracellular matrix. However, both the extent to which extracellular matrix mechanics affect stem cell fate in 3D micro-environments and the underlying biophysical mechanisms are unclear. We demonstrate that the commitment of mesenchymal stem cell (MSC) populations changes in response to the rigidity of 3D micro-environments, with osteogenesis occurring predominantly at 11–30 kPa. In contrast to previous 2D work, however, cell fate was not correlated with morphology. Instead, matrix stiffness regulated integrin binding as well as reorganization of adhesion ligands on the nanoscale, both of which were traction-dependent and correlated with osteogenic commitment of MSC populations. These findings suggest that cells interpret changes in the physical properties of adhesion substrates as changes in adhesion ligand presentation, and that cells themselves can be harnessed as tools to mechanically process materials into structures that feedback to manipulate their fate.",Cell Biology,45.00%,Biomedical Engineering,35.00%,Biophysics,20.00%
Neuromorphic Silicon Neuron Circuits,"Hardware implementations of spiking neurons can be extremely useful for a large variety of applications, ranging from high-speed modeling of large-scale neural systems to real-time behaving systems, to bidirectional brain–machine interfaces. The specific circuit solutions used to implement silicon neurons depend on the application requirements. In this paper we describe the most common building blocks and techniques used to implement these circuits, and present an overview of a wide range of neuromorphic silicon neurons, which implement different computational models, ranging from biophysically realistic and conductance-based Hodgkin–Huxley models to bi-dimensional generalized adaptive integrate and fire models. We compare the different design methodologies used for each silicon neuron design described, and demonstrate their features with experimental results, measured from a wide range of fabricated VLSI chips.",Computer Science,40.00%,Electrical and Electronic Engineering,35.00%,"Neuroscience,",25.00%
Effects of polyethylene glycol on the surface of nanoparticles for targeted drug delivery.,"The rapid development of drug nanocarriers has benefited from the surface hydrophilic polymers of particles, which has improved the pharmacokinetics of the drugs. Polyethylene glycol (PEG) is a kind of polymeric material with unique hydrophilicity and electrical neutrality. PEG coating is a crucial factor to improve the biophysical and chemical properties of nanoparticles and is widely studied. Protein adherence and macrophage removal are effectively relieved due to the existence of PEG on the particles. This review discusses the PEGylation methods of nanoparticles and related techniques that have been used to detect the PEG coverage density and thickness on the surface of the nanoparticles in recent years. The molecular weight (MW) and coverage density of the PEG coating on the surface of nanoparticles are then described to explain the effects on the biophysical and chemical properties of nanoparticles.","Nanotechnology,",40.00%,Pharmaceutical Science,35.00%,Biomedical Engineering,25.00%
Electrochemical Biosensors: Recommended Definitions and Classification,"Abstract Two Divisions of the International Union of Pure and Applied Chemistry (IUPAC), namely Physical Chemistry (Commission I.7 on Biophysical Chemistry formerly Steering Committee on Biophysical Chemistry) and Analytical Chemistry (Commission V.5 on Electroanalytical Chemistry) have prepared recommendations on the definition, classification and nomenclature related to electrochemical biosensors; these recommendations could, in the future, be extended to other types of biosensors. An electrochemical biosensor is a self-contained integrated device, which is capable of providing specific quantitative or semi-quantitative analytical information using a biological recognition element (biochemical receptor) which is retained in direct spatial contact with an electrochemical transduction element. Because of their ability to be repeatedly calibrated, we recommend that a biosensor should be clearly distinguished from a bioanalytical system, which requires additional processing steps, such as reagent addition. A device which is both disposable after one measurement, i.e., single use, and unable to monitor the analyte concentration continuously or after rapid and reproducible regeneration should be designated a single use biosensor. Biosensors may be classified according to the biological specificity-conferring mechanism or, alternatively, to the mode of physico-chemical signal transduction. The biological recognition element may be based on a chemical reaction catalysed by, or on an equilibrium reaction with macromolecules that have been isolated, engineered or present in their original biological environment. In the latter cases, equilibrium is generally reached and there is no further, if any, net consumption of analyte(s) by the immobilized biocomplexing agent incorporated into the sensor. Biosensors may be further classified according to the analytes or reactions that they monitor: direct monitoring of analyte concentration or of reactions producing or consuming such analytes; alternatively, an indirect monitoring of inhibitor or activator of the biological recognition element (biochemical receptor) may be achieved. A rapid proliferation of biosensors and their diversity has led to a lack of rigour in defining their performance criteria. Although each biosensor can only truly be evaluated for a particular application, it is still useful to examine how standard protocols for performance criteria may be defined in accordance with standard IUPAC protocols or definitions. These criteria are recommended for authors, referees and educators and include calibration characteristics (sensitivity, operational and linear concentration range, detection and quantitative determination limits), selectivity, steady-state and transient response times, sample throughput, reproducibility, stability and lifetime.",Analytical Chemistry,45.00%,Biotechnology,35.00%,Electrochemistry,20.00%
"Antibacterial Free Fatty Acids and Monoglycerides: Biological Activities, Experimental Testing, and Therapeutic Applications","Antimicrobial lipids such as fatty acids and monoglycerides are promising antibacterial agents that destabilize bacterial cell membranes, causing a wide range of direct and indirect inhibitory effects. The goal of this review is to introduce the latest experimental approaches for characterizing how antimicrobial lipids destabilize phospholipid membranes within the broader scope of introducing current knowledge about the biological activities of antimicrobial lipids, testing strategies, and applications for treating bacterial infections. To this end, a general background on antimicrobial lipids, including structural classification, is provided along with a detailed description of their targeting spectrum and currently understood antibacterial mechanisms. Building on this knowledge, different experimental approaches to characterize antimicrobial lipids are presented, including cell-based biological and model membrane-based biophysical measurement techniques. Particular emphasis is placed on drawing out how biological and biophysical approaches complement one another and can yield mechanistic insights into how the physicochemical properties of antimicrobial lipids influence molecular self-assembly and concentration-dependent interactions with model phospholipid and bacterial cell membranes. Examples of possible therapeutic applications are briefly introduced to highlight the potential significance of antimicrobial lipids for human health and medicine, and to motivate the importance of employing orthogonal measurement strategies to characterize the activity profile of antimicrobial lipids.",Biochemistry,40.00%,Biophysics,35.00%,Pharmacology,25.00%
